Cód. Perfil;Sigla;Nome Empresarial;CNPJ BÁSICO;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22;média
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2016440;02.016.440/0001-62;853.867,23;691.748,56;613.481,25;475.690,73;496.651,28;510.331,37;491.015,77;475.952,32;;;;;576.092,31
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;2302100;02.302.100/0001-06;807.876,05;742.811,31;851.011,91;754.893,62;754.623,28;721.479,93;741.706,42;751.295,69;;;;;765.712,27
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;19527639;19.527.639/0001-58;116.914,59;103.970,92;121.300,28;109.248,23;105.323,32;104.466,51;109.359,45;108.976,23;;;;;109.944,94
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;12272084;12.272.084/0001-00;413.244,03;389.913,62;401.517,79;376.923,57;361.571,49;311.378,07;307.827,74;311.029,22;;;;;359.175,69
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;8826596;08.826.596/0001-95;52.251,09;50.046,79;54.950,96;51.863,75;52.441,79;46.896,64;46.701,07;47.273,39;;;;;50.303,18
15;CELG;CELG DISTRIBUICAO S.A. - CELG D;1543032;01.543.032/0001-04;1.030.238,42;962.113,76;1.146.338,83;1.168.607,80;1.142.159,43;1.086.876,76;1.104.750,88;1.154.263,19;;;;;1.099.418,63
16;CELPA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;4895728;04.895.728/0001-80;898.604,19;849.132,36;923.796,56;899.144,54;952.611,55;933.888,31;981.882,57;1.037.572,52;;;;;934.579,07
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;10835932;10.835.932/0001-08;1.208.440,87;1.154.089,01;1.246.705,79;1.189.023,24;1.161.422,00;1.000.771,77;1.010.417,38;1.025.044,72;;;;;1.124.489,35
19;CEMAR;EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A;6272793;06.272.793/0001-84;622.458,70;595.025,15;630.558,50;627.988,93;675.192,94;650.089,43;674.560,33;706.963,22;;;;;647.854,65
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3467321;03.467.321/0001-99;698.211,60;685.762,79;740.083,64;729.963,04;672.644,36;693.585,32;793.656,69;793.993,40;;;;;725.987,61
